Site Name,lat,lon,dist_any_intact_km,dist_1ha_patch_km,dist_5ha_patch_km,dist_freshwater_km,dist_saltwater_km
Severn Power Ltd,51.55996698769841,-2.9642794561417314,0.158,0.158,0.158,0.351,1.771
Seabank Power Ltd,51.35198668814836,-2.813792074789959,0.269,0.269,0.451,1.88,9.616
FM1,53.71641723929932,-1.2818852350690881,0.57,0.57,0.8,0.8,
FM2,53.71641723929932,-1.2818852350690881,0.57,0.57,0.8,0.8,
Saltend Power Station,53.74424900893952,-0.336683608730277,0.675,0.675,0.929,0.929,3.444
Indian Queens Power Ltd,50.38837855071188,-4.931124960864256,0.275,0.5,0.5,1.649,
EP SHB LTD,53.565269824366034,-0.18268425815564332,0.347,0.347,1.147,1.779,6.665
EP Ballylumford CCGT,54.84499814812362,-5.7869940805324,,,,,
EP Langage Ltd,50.388217464701036,-4.011757816431766,0.206,0.437,0.437,2.905,6.903
EP Ballylumford,54.84499814812362,-5.7869940805324,,,,,
Corby Power Station,52.2934094196215,-0.7045706180524896,0.632,0.632,1.425,0.632,
CoolkeeraghESB C30,55.04399950431362,-7.2490035937198,,,,,
Carrington Power,53.43343261982753,-2.4035392747522497,0.0,0.0,0.0,0.292,
CoolkeeraghESB GT8,55.04399950431362,-7.2490035937198,,,,,
Rocksavage Power Company Ltd ,53.29375946276498,-2.7153705399554298,0.601,0.601,0.601,0.936,
Coryton Energy Company Ltd,51.48401898140346,0.3773361207858151,0.608,0.608,0.608,0.608,3.49
Spalding Energy Company Ltd,52.76536140861464,-0.14966279632518767,0.627,0.627,0.627,0.627,
Spalding Expansion OCGT ,,,,,,,
Londonwaste Ltd,51.615584329242935,-0.05082164131864314,0.825,0.825,0.825,0.825,
Marchwood Power,50.871562720461206,-1.4574343823116045,0.202,0.354,0.354,1.343,3.241
Fellside CHP,54.42032936514786,-3.4933012621610193,0.467,0.73,0.73,2.449,5.13
Peterborough Power Station,52.57788721157668,-0.25413373026510777,0.65,0.65,1.05,1.05,
Croydon,,,,,,,
Derby,,,,,,,
Exeter,,,,,,,
Heartlands,,,,,,,
Peterborough Power Station PPL2 Gas Engines,,,,,,,
Thornhill,,,,,,,
Viking,,,,,,,
Riverside - Energy from Waste,51.46832820100115,0.11783405882471108,0.946,0.946,0.946,1.555,4.221
Little Barford,52.19693185465082,-0.25961893287902577,0.177,0.594,0.594,1.14,
Kings Lynn,,,,,,,
Didcot B,51.53649032907293,-1.264977438855041,0.0,0.0,0.0,8.325,
Cheshire,,,,,,,
Great Yarmouth,52.60871676680823,1.7284842218606928,0.41,0.41,0.41,5.49,3.293
Hythe,,,,,,,
Staythorpe,53.05331530116534,-0.8745864239418901,0.414,0.414,0.414,0.414,
Pembroke,51.66192702549476,-4.9890515665989,0.34,0.34,0.688,,2.314
Grimsby,,,,,,,
Didcot GT,51.53649032907293,-1.264977438855041,0.0,0.0,0.0,8.325,
Cowes,50.73958076081251,-1.3144366387303903,0.1,0.1,0.46,1.373,1.802
Little Barford GT,52.19693185465082,-0.25961893287902577,0.177,0.594,0.594,1.14,
Wilton 11,54.57499737308402,-1.101337208681604,0.025,0.025,0.025,0.035,3.986
Wilton International ,54.54813844992373,-1.1006288912255062,0.025,0.025,0.025,2.035,6.401
Peterhead,57.47791236687248,-1.7883748498213494,0.16,0.16,0.16,1.634,0.224
Keadby,53.595006927755215,-0.7431726354075455,0.225,0.225,0.225,0.225,0.25
Medway,51.43423342358767,0.687701601910857,0.2,0.2,0.2,0.372,0.2
Burghfield,51.3920088869151,-1.0395034335138522,0.0,0.0,0.215,0.0,
Chickerell,50.62698166537331,-2.5095990918054176,0.675,0.817,0.817,1.16,1.209
Keadby 2,,,,,,,
Bowmore,55.7608351490371,-6.273264181427043,0.25,0.25,0.318,2.727,
Kirkwall,58.982412621287686,-2.9643490145423694,,,,,
Stornoway,58.20314096008006,-6.37357543475305,0.056,0.056,0.056,2.013,3.302
Lerwick,60.16692812137904,-1.1647175358925244,,,,,
Tiree,56.493254105621865,-6.875683526665922,0.388,0.388,0.388,1.314,4.169
Loch Carnan,57.36360763822402,-7.27052212230026,0.079,0.079,0.275,0.079,3.396
Barra,57.003770004053955,-7.409494874675649,0.16,0.32,1.034,1.883,5.458
Arnish,58.18774721347747,-6.387364072912287,0.0,0.0,0.0,0.158,4.525
West Burton CCGT,53.35178246080834,-0.8091107993367065,0.506,1.091,1.733,0.873,
Ratcliffe (Steam),52.84483836255014,-1.259536741552712,0.491,0.537,0.593,0.491,
Killingholme,53.661811390438054,-0.23513805351309464,0.0,0.0,0.0,0.0,0.35
Connahs Quay,53.20726783382177,-3.066326179226394,0.103,0.103,0.206,2.462,11.903
Cottam Development Centre,53.29728843171265,-0.9465824547840991,0.103,0.103,1.055,1.336,
Enfield,51.59949694484917,-0.08911098255899808,0.567,0.754,2.052,2.052,
Grain,51.423035746357485,0.7123052267630693,0.0,0.0,0.0,1.639,0.0
Ratcliffe (OCGT),52.84483836255014,-1.259536741552712,0.491,0.537,0.593,0.491,
Taylors Lane,51.64098976018301,-0.1996053756957863,0.727,0.8,1.521,1.147,
Grain (OCGT),49.766807235142615,-7.55715980690519,,,,,
SELCHP,51.485861747192885,-0.04836481787907273,0.878,0.878,0.878,0.878,5.044
Runcorn Energy from Waste,53.325703033328026,-2.7523738637100603,0.195,0.195,0.195,0.442,9.642
Rye House,51.76988189860085,0.003866317408302852,0.19,0.19,0.32,0.19,
Damhead Creek,51.42868251718666,0.6162601029370045,0.0,0.0,0.0,0.025,0.0
Shoreham,50.83278335700191,-0.276211853894032,0.206,0.206,0.206,0.215,0.206
Blackburn,53.71800122101306,-2.5370009102900424,0.103,0.103,0.103,0.175,
VPI,53.594767114243204,-0.21569031520855417,0.535,0.535,0.535,0.77,3.716
